"id","gregorian_date","hijri_date","city_id","fajr","sunrise","dhuhr","asr","maghrib","ishaa"
109,"2025-04-05","6 شوال 1445",109,"04:45:00","06:09:00","12:39:00","16:09:00","19:01:00","20:14:00"
110,"2025-04-05","6 شوال 1445",110,"04:55:00","06:18:00","12:46:00","16:15:00","19:06:00","20:18:00"
111,"2025-04-05","6 شوال 1445",111,"04:51:00","06:17:00","12:45:00","16:14:00","19:04:00","20:19:00"
112,"2025-04-05","6 شوال 1445",112,"04:49:00","06:16:00","12:44:00","16:13:00","19:03:00","20:18:00"
113,"2025-04-05","6 شوال 1445",113,"04:48:00","06:13:00","12:42:00","16:11:00","19:02:00","20:16:00"
114,"2025-04-05","6 شوال 1445",114,"04:47:00","06:10:00","12:39:00","16:08:00","19:00:00","20:12:00"
115,"2025-04-05","6 شوال 1445",115,"04:48:00","06:11:00","12:40:00","16:09:00","19:00:00","20:13:00"
116,"2025-04-05","6 شوال 1445",116,"04:47:00","06:11:00","12:40:00","16:09:00","19:01:00","20:14:00"
117,"2025-04-05","6 شوال 1445",117,"04:55:00","06:19:00","12:46:00","16:14:00","19:04:00","20:17:00"
118,"2025-04-05","6 شوال 1445",118,"04:52:00","06:16:00","12:43:00","16:11:00","19:01:00","20:14:00"
119,"2025-04-05","6 شوال 1445",119,"04:57:00","06:20:00","12:47:00","16:14:00","19:05:00","20:16:00"
120,"2025-04-05","6 شوال 1445",120,"04:51:00","06:10:00","12:41:00","16:09:00","19:03:00","20:12:00"
121,"2025-04-05","6 شوال 1445",121,"04:49:00","06:09:00","12:39:00","16:08:00","19:01:00","20:11:00"
122,"2025-04-05","6 شوال 1445",122,"04:54:00","06:13:00","12:44:00","16:11:00","19:04:00","20:13:00"
123,"2025-04-05","6 شوال 1445",123,"04:50:00","06:11:00","12:40:00","16:07:00","18:59:00","20:10:00"
124,"2025-04-05","6 شوال 1445",124,"04:52:00","06:11:00","12:41:00","16:08:00","19:01:00","20:10:00"
125,"2025-04-05","6 شوال 1445",125,"04:55:00","06:15:00","12:43:00","16:10:00","19:03:00","20:12:00"
126,"2025-04-05","6 شوال 1445",126,"04:55:00","06:19:00","12:45:00","16:13:00","19:03:00","20:16:00"
127,"2025-04-05","6 شوال 1445",127,"04:54:00","06:17:00","12:44:00","16:13:00","19:03:00","20:15:00"
128,"2025-04-05","6 شوال 1445",128,"04:32:00","05:55:00","12:25:00","15:55:00","18:47:00","19:59:00"
129,"2025-04-05","6 شوال 1445",129,"04:33:00","05:55:00","12:25:00","15:53:00","18:46:00","19:57:00"
130,"2025-04-05","6 شوال 1445",130,"04:32:00","05:55:00","12:25:00","15:53:00","18:46:00","19:57:00"
131,"2025-04-05","6 شوال 1445",131,"04:26:00","05:51:00","12:22:00","15:52:00","18:44:00","19:58:00"
132,"2025-04-05","6 شوال 1445",132,"04:35:00","05:57:00","12:27:00","15:56:00","18:49:00","20:00:00"
133,"2025-04-05","6 شوال 1445",133,"04:37:00","05:57:00","12:30:00","15:59:00","18:53:00","20:04:00"
134,"2025-04-05","6 شوال 1445",134,"04:35:00","05:58:00","12:28:00","15:57:00","18:49:00","20:00:00"
135,"2025-04-05","6 شوال 1445",135,"04:32:00","05:54:00","12:25:00","15:55:00","18:48:00","19:59:00"
136,"2025-04-05","6 شوال 1445",136,"04:32:00","05:54:00","12:27:00","15:56:00","18:50:00","20:01:00"
137,"2025-04-05","6 شوال 1445",137,"04:41:00","06:02:00","12:31:00","15:59:00","18:51:00","20:02:00"
138,"2025-04-05","6 شوال 1445",138,"04:44:00","06:05:00","12:35:00","16:04:00","18:56:00","20:07:00"
139,"2025-04-05","6 شوال 1445",139,"04:37:00","05:59:00","12:30:00","15:59:00","18:52:00","20:02:00"
140,"2025-04-05","6 شوال 1445",140,"04:42:00","06:03:00","12:34:00","16:02:00","18:55:00","20:06:00"
141,"2025-04-05","6 شوال 1445",141,"04:40:00","06:01:00","12:32:00","16:01:00","18:54:00","20:04:00"
